NOME,DATANASC,CPF,WHATS,EMAIL,DATAFORMACAO,DATASAIDA,FILHOMATRICULADO,created_at,updated_at
Andrea Parker,1959-09-04,285396740,7530549687,wilkinsonamber@carter-franklin.com,2015,2000,Não,,
Danielle Reynolds,1963-06-24,732502357,(755)250-5916,qjohnson@hotmail.com,2016,1980,Sim,,
Antonio Walker,1999-11-26,581728753,+1-842-727-3088x896,matthewroberts@lopez-white.org,2006,,Não,,
Michael Russell,1957-07-22,299869790,001-234-664-6319x6786,gavin00@edwards.com,1987,2007,Não,,
Kimberly Nelson,1956-02-04,574562141,(578)511-4693x570,maryperez@gmail.com,1993,,Sim,,
Marcus Caldwell,1956-01-19,184853300,695.026.9025x15153,haroldskinner@yahoo.com,1987,2008,Sim,,
Natalie Daniels,1995-04-07,228157207,001-396-614-2716x2014,shannon71@hotmail.com,2017,,Sim,,
Cheryl Banks,1997-11-02,495859372,004-671-9682,samanthajackson@jones.net,1992,,Sim,,
Jessica Austin,1998-02-05,437953913,+1-400-027-8531x059,michelleanderson@yahoo.com,2010,1990,Não,,
Jennifer Thompson,2004-10-08,862053069,001-362-958-0904,ruizkayla@yahoo.com,1983,1985,Sim,,
Gina Pearson,1952-10-02,407062015,(823)591-3171,christopherday@barron.com,2011,,Não,,
Elizabeth Smith,1982-08-24,304182302,6141065803,brianrose@gonzalez.com,1991,1987,Não,,
Bruce Cardenas,1946-01-23,088776268,(806)915-8052x045,lopezkyle@yahoo.com,2014,2011,Não,,
Craig Nichols,1956-01-21,029803184,(170)143-2055x4949,ronald15@thomas.net,2013,,Sim,,
Elizabeth Green,1981-05-08,610135240,(299)467-3323x5692,qstone@hotmail.com,1988,,Não,,
Lori Ortiz,1981-03-12,038596885,+1-903-612-2157x15391,perezmichael@taylor-cole.info,2001,,Não,,
Nathaniel Hernandez,1981-06-19,632890113,(120)397-6521x389,michellewilkinson@terry.com,1994,1994,Não,,
Patrick Washington,1986-09-16,488435967,697-920-9851,winterssarah@hotmail.com,2019,1996,Não,,
Caroline Davidson,1966-05-13,747514039,806-311-2718x42124,jacobrodriguez@hotmail.com,1982,,Sim,,
Michelle Bell,1960-01-05,581646396,(988)132-1181,jenna19@fletcher.com,1998,2003,Sim,,
Jimmy Kaiser,1976-05-11,083840233,732.867.2774x852,alyssasmith@johnson.com,1996,2003,Não,,
Taylor Allen,1978-06-26,129264313,+1-177-386-4652x558,gonzalezpaul@reid-bradshaw.com,1981,1984,Não,,
Mrs. Amy Thompson PhD,1973-11-20,658047812,(014)203-5831x017,denisebutler@walsh.com,2003,,Sim,,
Leonard Daniel,1960-04-18,329769280,(187)905-9827x1200,jeffrey31@sullivan.biz,2018,,Sim,,
Tracie Vargas,1983-06-12,790073508,909-506-3987x554,justincastillo@hotmail.com,2015,1993,Não,,
Richard Pierce,1994-06-29,113194953,(877)952-8825x5174,brandonharris@adams.com,1992,,Não,,
Jessica Schwartz,2005-04-23,840442053,574.968.0473x8640,millerbilly@hotmail.com,2014,1982,Não,,
Tyler Velasquez,2006-07-07,330824968,(911)313-3991,jasonsmith@montgomery-cobb.com,2000,,Sim,,
Gabriela Washington,1973-11-02,794541483,556.995.3683x524,saraholloway@gmail.com,2010,,Não,,
Catherine Parker,1963-03-02,634736509,001-474-074-3078x25789,frank09@hotmail.com,2000,2013,Sim,,
Manuel Lyons,1960-11-12,488694773,(603)686-8787x272,lisajones@hill.com,1983,2012,Não,,
Wendy Hayes,1982-11-27,370743338,(065)344-6055x59799,donbrock@schneider.com,2014,1992,Sim,,
Christopher Sawyer,1973-06-14,529868187,146.783.8847x262,jeremy32@hall.com,2018,2013,Não,,
Bryan Williams,1989-05-25,773027548,845-086-3363x26586,bushmisty@martinez.com,2015,2016,Não,,
Kathryn Maldonado,1959-01-20,857483210,737.448.4167,david55@short-bradley.info,1985,,Não,,
Sean Mills,1967-03-26,182844828,964-249-4737,robinpatrick@yahoo.com,2014,2018,Sim,,
Linda Bowman,2000-04-26,899267308,964-858-3057x6509,angelataylor@hotmail.com,2007,2013,Não,,
Nicole Rodriguez,1968-05-23,185507783,537-585-6347x4827,mholmes@petersen.com,1991,1994,Não,,
Michelle Arnold,1965-07-11,365513510,+1-194-543-3683,iyoung@yahoo.com,1994,1987,Não,,
Gene Flores,1957-03-29,126296666,061-645-8592x245,daniel52@orozco.org,1989,2008,Não,,
Samantha Johnson,1964-05-05,567427973,(104)558-3892,dmorrison@hotmail.com,2007,1982,Sim,,
Michael Miller,1975-03-02,688233448,6295558246,miguel12@lewis-valenzuela.info,1984,1996,Sim,,
Kimberly Stevens,1982-11-06,869821980,(457)271-7632x22315,yhorne@gmail.com,2009,2008,Não,,
Tina Evans,1977-04-28,011478728,001-880-404-0534x95510,lindsaysmith@hughes-pena.org,1980,1992,Não,,
Lauren Lewis,2005-08-25,823128107,001-614-544-1138x392,jamesprince@gmail.com,2010,,Não,,
Richard Vasquez,1972-08-28,819212712,9261368769,cwebb@buchanan.net,2003,,Não,,
Rachel Gonzalez,1987-12-23,853451567,526.620.6444x315,john21@wilson-arias.com,1988,,Não,,
Leslie Martinez,1949-11-21,030788484,137-141-1080,jacksonkatie@yahoo.com,2004,2006,Sim,,
Jacob Castillo,1951-10-25,216589616,162.217.1582,davidstewart@hotmail.com,2015,2004,Não,,
Patricia Douglas,1962-11-06,719332390,(003)169-2405x3856,sanderstiffany@jenkins.info,1990,,Sim,,
Laura Frost,1998-09-22,310424215,310-946-4864x1034,rcampbell@smith-sanders.biz,1997,2000,Sim,,
Danielle Ramirez,1985-07-21,656986842,+1-711-402-4784x86221,mirandabradley@yahoo.com,2012,1993,Não,,
Luis May,1998-05-11,747441820,001-374-459-8421x6622,becksamantha@hall.info,2002,2002,Não,,
Mark Medina,1969-04-28,693090835,6932340136,jessicaallen@hotmail.com,1997,2003,Não,,
Monica Sanchez,2006-12-22,488478445,(985)269-5532,cynthiaryan@gmail.com,1985,,Sim,,
Evelyn Morrison,1956-06-03,489302837,(862)932-6841x0657,kevin31@garner.org,2020,1993,Sim,,
Rhonda Byrd,1970-07-21,129148331,949-807-6347x699,petersscott@yahoo.com,2018,,Não,,
Albert Green,2005-03-24,006247405,(452)855-0962x7900,rebeccaterry@williams.net,2006,,Sim,,
Dr. Brandon Payne II,1956-10-03,026632659,+1-485-704-6430x48400,reneearnold@yahoo.com,2017,1985,Sim,,
Stephanie Gonzalez,1977-04-03,760218428,(808)869-2427,leonalexis@yahoo.com,1993,,Não,,
John Rodriguez,1978-01-11,683886775,001-179-022-2583,xclarke@gmail.com,1982,1995,Não,,
Jeanne Cordova,1985-03-26,032675932,171.003.5922x41801,xlozano@smith-king.com,2009,,Sim,,
Michael Waters,1951-01-09,165569832,001-556-179-5310x0162,stuartkathryn@hotmail.com,1980,,Sim,,
Andrew Luna,1992-01-16,635136079,8055528945,baileymary@gmail.com,1982,,Não,,
Jamie Flores,1958-12-19,851448385,750.748.1077x52659,villarrealsarah@gmail.com,2020,1985,Sim,,
Charles Graves,2001-04-02,253987685,+1-017-733-3124x47110,fhughes@yahoo.com,2017,2014,Não,,
Cynthia Ford,2004-02-25,173586225,(351)363-3217,yperez@hotmail.com,2018,2016,Não,,
Miss Bianca Cardenas,1944-12-16,106998734,140.622.4418x6118,hnorton@gmail.com,2017,2005,Sim,,
Donald Kennedy,1973-04-10,318610575,(792)205-6671x754,vgould@tate.com,2003,,Sim,,
Shannon King DVM,1951-04-08,875524933,(001)688-7975x0835,rhonda67@mcgee.info,2017,,Sim,,
Joshua Morales,2006-11-01,667056934,391.251.1514x0891,jeremylopez@johnson.org,2013,,Sim,,
Joseph Simon,2001-06-01,711467105,(799)751-3218,nicole19@hotmail.com,1995,2013,Não,,
Erika Huffman,1972-02-02,842372486,001-400-233-3883x61824,romanlisa@gmail.com,1990,2014,Não,,
John Bryant,1944-11-15,227768810,333.020.4094,hermantracey@gmail.com,2007,,Não,,
Krista Gonzalez,1974-10-06,676737172,+1-881-433-7852,barbara18@gmail.com,2007,,Sim,,
Shirley Alvarado,1949-09-16,504976454,530-103-2132,paulbrown@gray.com,2001,,Não,,
Joshua Chapman,1944-05-04,403442951,009-431-0470x269,mary22@anderson-curry.org,2020,1981,Sim,,
John Jones,1985-09-02,591188157,001-860-016-0126,charlesgreene@tate.net,2011,2002,Não,,
Joe Williams,1945-10-04,878379371,001-213-661-8866x760,matthewryan@kane-boone.biz,2008,,Sim,,
Crystal Cantrell,1977-07-17,139911156,001-972-123-1737x436,jgordon@yahoo.com,1999,,Não,,
Kimberly Cox,1983-02-28,004455753,181-342-0740,anna32@dalton.com,2002,2020,Sim,,
Michael Cain,1977-04-20,625178647,(318)366-5083x9199,sheryl52@jimenez-barber.org,1995,,Sim,,
Michael Anderson,1952-12-09,060735603,001-690-077-5690x7586,thompsonnicholas@rodriguez.com,2015,,Não,,
Charles Spencer,1980-11-25,476218317,(998)433-8873x510,lewismichelle@schroeder.com,1997,2009,Não,,
Briana Oconnor,1977-03-01,824207414,381.394.7801x74284,zfloyd@watson.com,1991,,Sim,,
Jennifer Davis,1986-10-20,550233556,780.266.3172,wtownsend@clark.com,1992,1994,Não,,
James Rose,1963-06-27,548927519,737.146.6553,daviscynthia@yahoo.com,2006,,Não,,
John Gates,1992-10-03,198097877,739.079.3957x407,frenchmary@gmail.com,2012,2000,Não,,
Todd Bryan,1987-11-29,692809383,(201)682-7219x07564,drew42@lee.org,1982,1990,Não,,
Jennifer Sanders,1945-04-13,622546908,+1-566-894-8630x7419,huertatodd@hotmail.com,2004,1982,Não,,
David Ellison,1983-09-28,024601305,280-268-5047x548,oball@taylor.com,2019,,Sim,,
Matthew Turner,1988-01-02,546350159,577.707.5253,michaelleon@edwards.com,1997,2005,Não,,
Christopher Moore,1987-01-08,380078299,+1-387-358-0657x1510,mwoodard@jimenez.com,2020,,Não,,
Tammy Larson,1979-02-02,566369356,129-610-9930x044,ginawade@frazier.net,2009,,Sim,,
Natalie Farmer,1947-12-17,113833826,588.259.7197x837,contrerasrebecca@payne-stanley.com,2000,,Sim,,
Christina Brooks,1956-04-29,557798556,958-152-5643x0195,andrew41@bailey-dalton.com,1982,,Sim,,
Madison Larson,1952-01-22,160273179,001-882-720-0591,ralphhowell@hotmail.com,1980,,Sim,,
Jeanne Smith,1954-03-07,425040724,(908)394-9043x762,ylozano@shah.net,1982,,Sim,,
Rebecca Banks,1969-07-01,629680972,640.001.4582x2410,william15@caldwell.biz,1991,1994,Sim,,
Nicole Thompson,1986-06-26,755104241,4232934371,josephdaugherty@martin.com,1995,,Sim,,
Adam Ramirez,1979-01-19,409166045,001-949-896-8773x362,jessediaz@allison-murphy.org,1988,,Não,,
Scott Delgado,2000-08-31,721747762,(322)909-4928x4191,william46@gmail.com,2016,,Sim,,
John Schwartz,1946-04-22,615052197,909.172.4614,selenawashington@hotmail.com,2016,2005,Sim,,
Stephen Sanders,1979-09-04,473587283,+1-690-423-5418,gilbertjohnson@wood.com,1996,1997,Sim,,
Julie Terry,1950-03-30,605076246,+1-429-152-8181x861,eboyd@morgan-bauer.info,1990,,Sim,,
Jonathan Robinson,1948-12-01,039986378,(422)692-0295x77475,dpatton@gmail.com,1989,,Não,,
Tracy Richardson,1969-11-17,541338971,(475)884-3228,richardconnor@yahoo.com,2013,,Sim,,
Megan Paul,1992-03-20,327177592,(830)978-9969,laura08@lawrence.com,1990,,Sim,,
Veronica Sweeney,1944-11-21,407844686,+1-075-645-7044x45479,kaitlyn24@patel.biz,1998,,Não,,
Sean Smith,1960-07-03,233958484,061-056-0275x380,sarahsmith@gmail.com,1999,1984,Não,,
Jackie Sheppard,1955-07-30,468153510,481.578.8282,asmith@cox-farrell.com,2020,2017,Não,,
Joshua Alvarez,2004-06-21,016912710,(767)854-0454,rgardner@gmail.com,1999,1996,Sim,,
Brian Jackson,1950-09-28,095896761,(879)085-6649,scottbryan@gmail.com,2011,2006,Não,,
Nicholas Lopez,1954-12-08,739392435,+1-267-178-0077x653,beverlythompson@jackson.net,2000,,Sim,,
Angela Gordon,1984-05-11,028142566,001-377-244-7779,james73@cook-fox.info,2009,,Sim,,
Lindsey Greene,2002-02-15,861361648,140-790-1452x3166,upayne@hotmail.com,2000,,Sim,,
Paul Ross,1958-01-19,750777652,+1-775-719-3921,lesliejohnson@yahoo.com,1987,1989,Não,,
Paula Pena,1983-01-07,797461795,(149)389-2853x22447,snowlaura@yahoo.com,2012,1998,Sim,,
Keith Davis,1998-06-20,372685235,+1-304-037-5267x6223,bateslance@todd.com,2005,2009,Não,,
Lauren King,1984-07-01,715849347,110.011.1914,johnsonmichael@smith.com,2019,1993,Sim,,
Julie Guzman,1974-11-20,485296177,001-378-992-5680x157,victoria38@malone-collins.biz,2018,,Não,,
Joshua Kaufman,1986-05-18,217202986,(203)366-1921x319,christineballard@hotmail.com,1988,,Sim,,
Jennifer Kennedy,1991-05-15,779717616,+1-488-525-8461,ihardy@baker-maxwell.biz,1997,2000,Sim,,
Mrs. Elizabeth Sherman,2001-10-16,388545036,(263)806-0155x291,josephjackson@gmail.com,2013,,Não,,
Kevin Hawkins,1967-06-09,602045714,298-079-4900,ybentley@goodwin.com,2007,2016,Não,,
David Foley,1990-10-11,894809407,659-212-5222,tmarshall@johns.com,2006,2002,Não,,
Morgan Gray,1998-06-08,837017024,944.377.5608,xhughes@watson-williams.com,2019,2003,Sim,,
Brian Le,1993-06-25,863953448,(809)613-7152,william96@hotmail.com,2020,,Não,,
Tyler Kemp,1999-12-02,788129322,567-935-0463x944,thardy@frank.info,2013,,Sim,,
Denise Schmitt,1948-04-24,860926335,898-592-6521x132,matthew72@gmail.com,2008,2008,Sim,,
Jamie Carter,1946-11-20,601230752,162.973.8432x7290,pbarnett@cobb.com,1998,1988,Não,,
Brandon Carr,1985-06-23,334017302,001-254-934-6132x806,david64@rodriguez.com,2007,,Não,,
Thomas Crawford,1946-12-09,323673989,590-302-4313,nacevedo@garcia.com,1996,,Sim,,
Joan Owens,2005-12-16,170247253,+1-071-779-6593x132,ballardleonard@velez.com,1991,1984,Não,,
Lisa Spencer,1990-01-23,259791120,(976)926-4565x0390,xbentley@blair.com,2008,1994,Sim,,
